OBJECTID,NYC_Block_group_tree_temp_pollution_STATEFP,NYC_Block_group_tree_temp_pollution_COUNTYFP,NYC_Block_group_tree_temp_pollution_TRACTCE,NYC_Block_group_tree_temp_pollution_BLKGRPCE,NYC_Block_group_tree_temp_pollution_GEOID,NYC_Block_group_tree_temp_pollution_NAMELSAD,NYC_Block_group_tree_temp_pollution_MTFCC,NYC_Block_group_tree_temp_pollution_FUNCSTAT,NYC_Block_group_tree_temp_pollution_ALAND,NYC_Block_group_tree_temp_pollution_AWATER,NYC_Block_group_tree_temp_pollution_INTPTLAT,NYC_Block_group_tree_temp_pollution_INTPTLON,NYC_Block_group_tree_temp_pollution_Area,NYC_Block_group_tree_temp_pollution_Number_of_trees,NYC_Block_group_tree_temp_pollution_Tree_density,NYC_Block_group_tree_temp_pollution_Mean_PM2,ZonalSt_NYC_Blo4_MEAN,ZonalSt_NYC_Blo5_MEAN,ZonalSt_NYC_Blo6_MEAN,ZonalSt_NYC_Blo7_MEAN,mean_greenview,Point_Count,Shape_Length,Shape_Area,mean_greenview_1,Point_Count_1
"1","36","005","017500","2","360050175002",Block Group 2,G5030,S,23694,0,"+40.8296335","-073.9152037",255035.714913736,"38",0.000148998739305408,6.07449579238892,38.549821801,30.2207450866699,12.0527696609497,19.2985496520996,11.7575592857143,"7",0.00646173203388159,2.52939932091675e-06,15.5037914,"5"
"2","36","005","014100","1","360050141001",Block Group 1,G5030,S,55934,0,"+40.8245444","-073.9131209",602063.572179415,"29",4.81676708906713e-05,6.07393932342529,40.587548442347,30.5595531463623,11.4561920166016,18.9330062866211,14.3326363076923,"13",0.0145295488757404,5.97070933394491e-06,13.5171057142857,"14"
"3","36","005","014500","1","360050145001",Block Group 1,G5030,S,47026,0,"+40.8309816","-073.9050870",506180.695574836,"52",0.000102730112891696,6.19849586486816,39.4043307902857,30.2790031433105,11.6236200332642,18.2885894775391,16.6913334,"5",0.0101314359862306,5.02031152460346e-06,18.11596375,"4"
"4","36","005","007500","2","360050075002",Block Group 2,G5030,S,109058,0,"+40.8202395","-073.9080678",1173892.92332642,"228",0.00019422555112942,6.04021787643433,40.2224417625229,30.3661079406738,11.0901823043823,18.3721961975098,20.96675525,"20",0.0145124953563808,1.16408396945108e-05,20.78789065,"20"
"5","36","005","041800","1","360050418001",Block Group 1,G5030,S,140793,0,"+40.8989195","-073.8564428",1515465.07899815,"91",6.00475730263337e-05,5.95013380050659,38.6492272857994,29.8014240264893,9.75918197631836,16.9929094314575,16.6982197272727,"22",0.0231638903309545,1.50453629776264e-05,15.5757103181818,"22"
"6","36","005","012701","2","360050127012",Block Group 2,G5030,S,67478,0,"+40.8253679","-073.8933822",726331.533479184,"112",0.000154199556039528,6.26755046844482,38.8547337068628,30.9970245361328,11.0250635147095,18.4002590179443,21.957468,"13",0.0105317331643979,7.20317203983109e-06,21.0217262142857,"14"
"7","36","005","005400","3","360050054003",Block Group 3,G5030,S,57695,0,"+40.8296369","-073.8824371",621024.078085109,"36",5.79687668648917e-05,6.28245401382446,37.4039789672909,31.5075778961182,11.2902851104736,18.3254146575928,9.48492427272727,"11",0.010402437573466,6.15920778139344e-06,8.98164933333333,"12"
"8","36","005","002701","1","360050027011",Block Group 1,G5030,S,39342,0,"+40.8044882","-073.9157266",423469.404364599,"39",9.20963819299251e-05,6.62999391555786,38.4800280588966,30.1111621856689,18.2371864318848,19.9991474151611,24.0609895,"2",0.00936603963182069,4.19832780871493e-06,29.259062,"1"
"9","36","005","022401","1","360050224011",Block Group 1,G5030,S,35632,0,"+40.8561564","-073.8688238",383538.210313877,"31",8.08263666210218e-05,6.02764081954956,37.8676046761786,30.7554302215576,10.0207986831665,16.7648220062256,,"0",0.0101062181315559,3.80536357976077e-06,3.5816664166665,"2"
"10","36","005","007100","2","360050071002",Block Group 2,G5030,S,210622,0,"+40.8174963","-073.9134556",2267115.93651068,"161",7.10153360078247e-05,5.93556237220764,41.0543212116756,30.7897520065308,11.7173752784729,18.6630849838257,12.99530004,"25",0.0246693881493042,2.24808056164596e-05,15.77040625,"20"
"11","36","085","012806","2","360850128062",Block Group 2,G5030,S,97566,0,"+40.5619826","-074.1152939",1050177.64895829,"151",0.000143785196866247,5.39854693412781,38.5071392297735,29.5666904449463,7.19109439849854,11.8685183525085,,"0",0.0149535864739425,1.03743607021589e-05,32.236393229175,"8"
"12","36","085","013800","4","360850138004",Block Group 4,G5030,S,197099,0,"+40.5716696","-074.1264393",2121562.03924104,"288",0.000135749035226435,5.47162270545959,39.79691013425,29.1033639907837,7.22924041748047,12.3071284294128,22.0675871020408,"49",0.0202226593099295,2.09612025725879e-05,22.1455511666667,"48"
"13","36","085","014606","4","360850146064",Block Group 4,G5030,S,119380,0,"+40.5647821","-074.1393950",1284986.62135194,"244",0.000189885245453596,5.39540084203084,40.02880258472,29.3963222503662,7.09594504038493,11.6302722295125,24.60591665,"20",0.0162066334287353,1.26944842746704e-05,25.936603,"18"
"14","36","085","015603","2","360850156032",Block Group 2,G5030,S,320367,0,"+40.5370134","-074.1475217",3448388.63400892,"385",0.000111646348733153,5.27417882283529,38.2261145651692,31.2428722381592,6.4970448811849,10.8700402577718,29.388333,"1",0.0270704378657866,3.40529985437376e-05,14.3851136363659,"22"
"15","36","085","017008","2","360850170082",Block Group 2,G5030,S,280582,0,"+40.5559753","-074.1787191",3020176.43336496,"587",0.000194359506125272,5.30805897712708,39.8581872699445,29.87317943573,6.59212636947632,12.4081254005432,13.5779971052632,"57",0.0244893972721394,2.98326972417085e-05,13.5983880163934,"61"
"16","36","085","017012","1","360850170121",Block Group 1,G5030,S,358425,0,"+40.5572473","-074.1721692",3858056.73702255,"537",0.000139189243861258,5.35665559768677,39.3302202427932,29.6207580566406,6.74598526954651,12.38401222229,18.7704006949153,"59",0.0249184018691352,3.81098237042962e-05,18.9926377941176,"68"
"17","36","085","017300","2","360850173002",Block Group 2,G5030,S,66400,0,"+40.6077418","-074.1196425",714723.386576159,"27",3.77768525657764e-05,5.77444314956665,36.614569734125,27.022180557251,8.46637344360352,13.2579393386841,12.7071873333333,"3",0.0106567589470955,7.06527532354121e-06,14.44901,"2"
"18","36","085","018702","3","360850187023",Block Group 3,G5030,S,225348,0,"+40.6015128","-074.1238416",2425634.64415166,"393",0.000162019453732467,5.5587379137675,38.4754693436551,28.1303908030192,7.76885557174683,13.011334101359,17.4577984067797,"59",0.0211298162527027,2.39759948331439e-05,17.9274641206897,"58"
"19","36","085","021300","4","360850213004",Block Group 4,G5030,S,132379,0,"+40.6316669","-074.1411025",1424902.68762526,"122",8.5619882016873e-05,6.12698435783386,39.4315286413815,26.9082889556885,9.23369693756104,14.981812953949,12.7779863333333,"3",0.0170027507170688,1.40905984789429e-05,14.3860026874875,"8"
"20","36","005","037100","2","360050371002",Block Group 2,G5030,S,66953,0,"+40.8456994","-073.8884178",720673.396021405,"86",0.000119332835754417,6.3792462348938,40.4925728274286,30.4259433746338,11.9934015274048,18.7838249206543,9.40927073333333,"15",0.0143166824318871,7.14921770283484e-06,9.01794628571428,"14"
"21","36","005","007900","2","360050079002",Block Group 2,G5030,S,23000,0,"+40.8163348","-073.9035210",247565.764615388,"42",0.000169651890540076,6.4578537940979,38.0636923035325,30.012788772583,15.773624420166,19.2857818603516,18.865417,"1",0.00692604273391497,2.45482897195591e-06,16.9540365,"4"
"22","36","005","014900","1","360050149001",Block Group 1,G5030,S,70408,0,"+40.8337448","-073.9012035",757866.896153412,"81",0.000106878926116339,6.1864709854126,38.3059430482802,30.4181880950928,11.1650838851929,17.7438583374023,18.5752008571429,"14",0.0136833388110289,7.5168493680514e-06,18.0542467692308,"13"
"23","36","081","100802","4","360811008024",Block Group 4,G5030,S,419898,0,"+40.6032502","-073.7673760",4519766.963759,"358",7.92076235059381e-05,5.31784229278564,36.1015679005269,30.5057571411133,8.26611766815186,10.0264568328857,,"0",0.0418249510222597,4.46764243559109e-05,8.23948611111333,"15"
